Universal Common Ancestor; c. BT 523; Created to spread the territory of its creator God. Single celled simple organism which fragments and propagates to grow rather than dispersing seed.
     s. Potato; c. BT 448; Subarctic continental climate plant.
     s. Sage; c. BT 448; Cold desert climate plant.
     s. Yams; c. BT 451; Savannah climate plant.
    Climbing; c. BT 448; Fruiting plants which creep up as they grow, climbing and trailing other structures.
     s. Yellow Bamboo; c. BT 451; Monsoon climate plant.
     s. Cavendish Banana; c. BT 451; Rainforest climate plant.
     s. Black Cardamom; c. BT 451; Monsoon climate plant.
     s. Green Cardamom; c. BT 451; Monsoon climate plant.
     s. Turmeric; c. BT 451; Monsoon climate plant.
     s. Vanilla; c. BT 451; Rainforest climate plant.
     s. Table Grape; c. BT 448; Mediterranean climate plant.
     s. Spear Mint; c. BT 448; Humid continental plant.
     s. Oregano; c. BT 448; Mediterranean climate plant.
     s. Prickly Pear; c. BT 448; Desert climate plant.
     s. Rosemary; c. BT 448; Mediterranean climate plant.
  Animal; c. BT 498; Seminifers which spread their territory by autonomous movement. Such a move necessitated the creation of new organelles, cell communication methods, and skeletal systems.
   Vermin; c. BT 498; Ancestor created to function in moist subterraneous and aquatic environments, for this reason they have simple soft unspecialized bodies.
    Worm; c. BT 498; Vermins created with no external manipulable limbs. Move by contracting their bodies.
    Slug; c. BT 498; Vermins characterized by the abssence of an external shell, move using a single muscular foot at the bottom of their body.
     Snail; c. BT 497; Slugs created to develop and grow shells to protect them from predators.
    Cephalopods; c. BT 497; Created to function in highly moist and aquatic environments, very intelligent and partially sociable, leading to the advent of their tentacles.
    Bivalves; c. BT 497; Ancestor created to function primarily in aquatic and moist terrestrial environments, build external shell structures to protect organs.
   Arthropods; c. BT 497; Ancestor created to function in terrestrial and aquatic environments, their size necessitated the creation of exoskeletal carapace which must molt to grow.
    Crustacea; c. BT 497; Arthropods characterized by their biramous appendages.
     Copepod; c. BT 497; Crustacea differentiated by their small tear-shaped bodies.
     Shrimp; c. BT 495; Often small exclusively aquatic crustacean with specialized swimming tails and fused heads and thorax.
     Crab; c. BT 494; Crustacea with a short, tucked, sometimes abscent tail.
     Lobster; c. BT 491; Crustacea possessing claws on their first three pair of limbs, often with a enlarged first pair.
    Hexapod; c. BT 496; Athropods characterized by their uniraamous appendages.
     Wingless Insects; c. BT 496; Hexapods characterized by the absence of wings. Created for a variety of niches.
      Mites; c. BT 496; Small, often parasitic, wingless insects.
      Flea; c. BT 496; Mites characterized by their ability to leap great distances. Parasatize a great deal of animals, sucking blood from their victims.
       s. Common Flea; c. BT 496; The common flea, found in a majority of abodes. Known for their parasitizing of the domestic bear and cat.
       s. Coastal Ave Flea; c. BT 496; Fleas found across the coastal jungles of the north and south, parasitizing birds and bats.
       s. Dragon Flea; c. BT 495; Flea known for parasitizing bats, primarily species of dragon.
      Myriapod; c. BT 496; Wingless insects characterized by their long segmented bodies, each segment with a pair of legs.
      Spiders; c. BT 496; Wingless insects with specialized abdomens capable of producing silk.
      Scorpion; c. BT 495; Wingless insects characterized by their segmented curved tail ending in a stinging appendage.
     Winged Insects; c. BT 485; Hexapods characterized by the presence of wings. Created for atmospheric purposes.
      Metamorphosing Insects; c. BT 485; Four-winged insects characterized by their undergoing of the process of metamorphosis.
       Flies; c. BT 485; Insects characterized by their small sizes.
       Lepidoptera; c. BT 485; Insects characterized by their large scaly-wings and extremely mobile larval stage.
        s. Starmoth; c. BT 446; a
        d. Domestic Silkmoth; c. BT 441; a
       Colonial Insects; c. BT 484; Insects characterized by their complex social structures, often consisting of a queen and drones. Although not all species are social.
        Ants; c. BT 484; Colonial insects characterized by their distinct worker, soldier, and queen castes.
         d. Domestic Ants; c. BT 442; a
        Bees; c. BT 484; Colonial insects characterized by their role in pollinating, known for their production of honey and wax.
         d. Domestic Sextown Bee; c. BT 442; a
         d. Domestic Northern Bee; c. BT 441; a
         d. Domestic Southwestern Bee; c. BT 441; a
         d. Domestic Giant Bee; c. BT 441; a
        Wasps; c. BT 483; Colonial insects characterized by their predatory or parasitic behavior and slender bodies.
       Beetles; c. BT 483; Insects whos front wings have hardened into a protective covering.
        Weevil; c. BT 483; Beetles distinguished by their elongated snout for boring and herbivorous diets.
        Longhorn Beetles; c. BT 483; Beetles characterized by their long antennae and boring larvae.
        Leaf Beetles; c. BT 483; Beetles characterized by their herbivorous diets and diverse colorful patterns.
        Scarab Beetles; c. BT 482; Beetles characterized by their clubbed antennae, stout bodies, and diverse diets.
        Ground Beetles; c. BT 482; Beetles characterized by their long tails, powerful mandibles, and predatory behavior.
        Tiger Beetles;  c. BT 482; Beetles characterized by their large eyes, prominent mandibles, fast speed, and predatory behavior.
        Diving Beetles; c. BT 482; Beetles characterized by their aquatic behavior, streamlined bodies, and flattened swimming legs.
        Beetle-crab; c. BT 481; Beetles which appear to mimic crabs.
      Incomplete-metamorphosing Insects; c. BT 483; Four-winged insects characterized by the absence of metamorphosis in their development.
       True Flies; c. BT 483; Insects characterized by their one pair of wings.
       Flatbugs; c. BT 483; Insects characterized by their flattened bodies. Omnivores and predators.
        s. Earwigs; c. BT 483; Omnivorous flatbugs characterized by their pincer-like cerci.
        s. Roaches; c. BT 483; Flatbug with segmented antennae, flat bodies, and omnivorous behavior.
        s. Termites; c. BT 482; Flatbug characterized by their social colonies with distinct clastes of workers. Known for their woody apetite.
       Hoppers; c. BT 483; Insects characterized by their strong hind legs and herbivorous or predatory behavior.
        s. Grasshoppers; c. BT 483; Hoppers known for their jumping and loud sounds.
        s. Crickets; c. BT 483; Hoppers known for their characteristic chirping.
        s. Katydids; c. BT 482; Large hoppers known for their camouflage and loud continous calls.
       Scythebugs; c. BT 483; Insects characterized by their elongated bodies and scythe-like forelimbs.
        s. Stick Insects; c. BT 483; Scythebugs known for their elongated camouflaged bodies.
        s. Mantises; c. BT 482; Predatory scythebugs known for their ambush behavior and praying-like stance.
       Predatory Flies; c. BT 482; Insects characterized by their elongated bodies and predatory behavior.
        s. Damselflies; c. BT 482; Narrow-bodied predatory flies which hold their wings against their body when at rest.
        s. Dragonflies; c. BT 481; Slender and long-bodied predatory flies which hold their wings horizontal to their bodies when at rest.
       Beaked Insects; c. BT 482; Insects characterized by their beak-like mouth parts.
        s. Cicada; c. BT 482; Beaked insects known for their loud buzzing calls, spend much of their lifecycle buried beneath the soil as nymphs.
        s. Aphid; c. BT 482; Small soft-bodied herbivorous beaked insects known for sitting on and feeding off of sappy plants.
        s. Leafhopper; c. BT 482; Wedge-shaped beaked insects known for their elongated hing legs made for jumping.
   Vertebrate; c. BT 497; Ancestor created to function in aquatic environments and grow larger in size, necessitating the creation of the spine.
    Cartilaginous Fish; c. BT 495; Vertebrate which do not have completely ossified bone structure.
     Rays; c. BT 495; Cartilaginous fish with flattened bodies and enlarged pectoral fins.
     Sharks; c. BT 492; Cartilaginous fish characterized by their pectoral fins that are not fused to their heads.
    Jawless Fish; c. BT 490; As the need for larger, more powerful, or more agile bodies arised vertebrate were created with ossified bone structures but lacked manipulable jaws.
     Armored Jawless Fish; c. BT 490; Jawless fish with hard bone-like scales.
     Jawless Eels; c. BT 485; Jawless fish with soft elongated eel-like bodies.
    Bony Fish; c. BT 487; When jawless vertebrates were no longer powerful enough vertebrate with completely ossified skeletal structure and bony jaws were created.
     Ray-finned Fish; c. BT 487; Bony fish with fins made of webbed bony spines.
     Lobe-finned Fish; c. BT 478; Bony fish with muscular lobed fins supported by articulated skeletal structure.
    Amphibia; c. BT 489; Vertebrate created for terrestrial mobility, have modified ovaries for laying eggs.
     Salamanders; c. BT 489; Amphibia created with powerful back legs for leaping and swimming, created to hunt insects.
     Frogs; c. BT 489; Small amphibia created to hunt invertebrates.
     Mega Amphibia; c. BT 489; Amphibia created to fulfil tertiary ranks in the ecosystem. Large and powerful, created for hunting.
     Synapsids; c. BT 475; Synapsids marked the move to complete terrestrial lives, requiring the loss of moist eggs and a move to hard shelled protective eggs. 
      Reptilia; c. BT 475; Created to be quicker, more agile, and more powerful than their synapsid ancestors.
       Squamata; c. BT 475; Generally smaller and more agile reptiles created primarily for predatory reasons.
        Lizards; c. BT 475; Squamata characterized by their presence of legs.
        Snakes; c. BT 474; Lizards characterized by their limbless bodies.
       Turtles; c. BT 469; Larger and more armored reptiles created to serve primarily herbivorous niches in their ecosystems.
       Archosaurs; c. BT 467; Typically large and powerful reptiles created for a variety of environments and reasons. 
        Crocodylomorphs; c. BT 467; Archosaurs which use little energy and are adapted for moist wet environments.
        Dinosauria; c. BT 467; The largest of the archosaurs, their large bodies requiring specialized pelvic bones.
         Therapod; c. BT 467; Dinosauria created for primarily carnivorous and tertiary niches.
         Sauropod; c. BT 467; Dinosauria created primarily for herbivorous and consumptive niches.
        Aves; c. BT 468; Small and nimble archosaurs created to fill a variety of ecosystems and environments.
         Perching Birds; c. BT 468; Birds characterized by their small-to-medium sizes and perching feet.
         Waterfowl; c. BT 468; Birds characterized by their webbed feet and typically flat beaks.
          d. Domestic Duck; c. BT 441; a
         Columbiforms; c. BT 467; Birds characterized by their small stout bodies.
          d. Domestic Chicken; c. BT 441; a
          d. Domestic Pigeon; c. BT 441; a
          d. Domestic Turkey; c. BT 441; a
         Parrots; c. BT 467; Birds characterized by their grasping feet, curved bills, and exotic colors.
         Birds of Prey; c. BT 467; Birds characterized by their large sizes, hooked beaks, and taloned feet.
         Swifts; c. BT 466; Birds characterized by their small bodies and agile flying abilities.
      Mammalia; c. BT 462; Created to carry and nurture young to ensure they survive longer. Created with placenta made to carry young and have mammary glands to produce milk for young.
       Marsupial; c. BT 460; Mammals which give birth to undeveloped young and use extra time and resources to nurture them outside of the womb.
        Marsupial Bears; c. BT 459; Created to fulfil predatory niches in the ecosystem.
         s. Wombat; c. BT 460; Marsupial bears with short stuby bodies.
         s. Sugar Glider; c. BT 460; Small marsupial bears with wing-like membranes connecting their hind and forelimbs.
        Marsupial Shrews; c. BT 454; Created to fulfil herbivorous niches in the ecosystem.
         s. Northern Kangaroo; c. BT 454; Large marsupial shrews, found across much of the north western deserts. Characterized by their powerful hindlimbs and tails built for powerful hops and kicks. They can be differentiated from their northern counterparts by their dull tan color and more stiff ears.
         s. Eastern Kangaroo; c. BT 454; Large marsupial shrews, created following the Northern Kangaroo species. Much like their relatives, characterized by their powerful hindlimbs and tails built for hopping and kicking. Eastern kangaroos may also be differentiated by their longer tails, less stiff ears, and red color.
         s. Giant Kangaroo; c. BT 453; Created following the success of the Northern Kangaroo. Giant Kangaroo are rare in the modern day, found only in select regions of the great southern deserts. Giant Kangaroo like their relatives are characterized by their hunched postures and powerful hindlimbs and tails, made for powerful hops and kicks. Some members of this species may stand to be over 2 meters in height and are often a dull tan across much of their body, although males have blue and yellow splotches across their bellies and tails.
         s. Western Possom; c. BT 454; Mid-sized gray and black rat-like marsupial shrews.
         s. Oppossum; c. BT 454; Mid-sized gray and black rat-like marsupial shrews.
       Placentalia; c. BT 459; Mammals which give birth to fully nourished offspring.
        Rodents; c. BT 459; Often small fingered mammals with diverse ecological roles.
        Shrews; c. BT 459; Small insectivorous terrestrial rodents.
         d. Domestic Hampster; c. BT 441; a
         d. Domestic Guinea Pig; c. BT 440; a
         d. Domestic Mouse; c. BT 441; a
        Moles; c. BT 458; Rodents with large claws, often for subterraneous digging.
        Lagomorphs; c. BT 456; Rodentia whose incisors continuously grow.
         d. Domestic Rabbit; c. BT 441; a
        Armored Mammals; c. BT 452; Rodents with prominent armor-like coverings.
        Primates; c. BT 449; Rodentia with apposable thumbs.
         Long-tailed Primates; c. BT 449; Primates which posses elongated posable tails.
          d. Domestic Monkey; c. BT 440; a
         Short-tailed Primates; c. BT 447; Primates which posses short stubby tails.
          s. Human; c. BT 442; Humans as they are today.
        Bats; c. BT 440; Rodents created with wing-like hands capable of flight.
         Megabat; c. BT 440; Bats characterized by their larger sizes and often herbivorous diets.
         Microbat; c. BT 440; Bats characterized by their smaller sizes and often carnivorous diets.
          Insectivorous Microbat; c. BT 440; Microbats characterized by their insectivorous diets.
          Vampire Bats; c. BT 440; Microbats characterized by their carnivorous diets consisting of blood.
          Nectar Microbats; c. BT 440; Microbats characterized by their diets consisting of fruits, nectar, and pollen.
         Dragon; c. BT 439; Bats characterized by their ability to walk on their wings and large sizes.
          Pigmy Dragon; c. BT 439; Greater dragons characterized by their small sizes.
           s. Elf Root Pigmy Dragon; c. BT 439; Pigmy dragons today only found in the north. They are known to congregate around elder elves.
           s. Moss Pigmy Dragon; c. BT 439; Green and lime green pigmy dragons found in many of the southern tropics.
           s. Northeastern Long-tailed Pigmy Dragon; c. BT 439; Pigmy dragons found in 
           s. Western Travelers Pigmy Dragon; c. BT 439; Pigmy dragons found across most of the western tropics. Known to follow travelers for their food.
           s. Boreal Pigmy Dragon; c. BT 439; Pigmy dragons found in the boreal forests of the south.
           d. Domestic Pigmy Dragon; c. BT 439; Domesticated pigmy dragon.
           s. Great Lake Pigmy Dragon; c. BT 439; Pigmies found across the great lakes of the north.
           s. Mountain Pigmy Dragon; c. BT 439; Pigmies found throughout many of the mountains of the south.
           s. Eastern Tropical Pigmy Dragon; c. BT 439; Pigmies found in the eastern archipelago tropics.
           s. Neotropical Pigmy Dragon; c. BT 439; Pigmies found across the souths neotropics.
           s. Long-tailed Pigmy Dragon; c. BT 439; Pigmy dragons with long tails, found in the south.
           s. Yellow Cup-footed Dragon; c. BT 439; Cup-footed dragon found throughout much of the southern desert.
           s. Northern Tropic Cup-footed Dragon; c. BT 439; Cup-footed dragon found in the tropics of the north.
           s. Northern Tropic Pigmy Dragon; c. BT 439; Pigmy dragons found in the northern tropic forests.
           s. Greater Leaf-nosed Dragon; c. BT 438; Leaf-nosed dragons found across much of the norths east.
           s. Leaf-nosed Dragon; c. BT 438; Small leaf-nosed dragons found in the souths forests.
          Horned Dragon; c. BT 438; Greater dragons characterized by their horn-like protrusions from their heads.
           s. Archipelago Horseshoe Dragon; c. BT 438; Small dragons with U-shaped horns found acorss many of the island chains across the plane.
           s. Eastern Buffalo Dragon; c. BT 438; Found in the eastern archipelago, mid-sized bulky dragons with buffalo-like horns.
           s. New World Grand Dragon; c. BT 438; Large horned dragon found in the north with elk-like racks.
           s. Western Boreal Dragon; c. BT 438; Dragon found in the western parts of the south. Has V-shaped parting horns.
           s. New World Jungle Dragon; c. BT 438; Dragon found in the north with a large single curved horn on its head.
           s. Ornamental Dragon; c. BT 438; Horned dragon found in the north with large fan-like horn across its head.
          Bulldog Dragon; c. BT 438; Greater dragons characterized by their short stubby bulldog-like snouts.
           s. Lesser Fishing Dragon; c. BT 438; Lesser bulldog dragons found at the souths great lakes.
           s. Fishing Dragon; c. BT 438; Mid-sized basking dragon found across the coast of much of the northern continent.
           s. Pigmy Fishing Dragon; c. BT 438; Lesser bulldog dragons found across much of the souths coasts.
           s. Eastern Basking Dragon; c. BT 438; Small bulldog dragon found throughout the eastern archipelago's islands.
           s. Lesser Pigmy Basking Dragon; c. BT 438; Lesser bulldog dragon found in the souths boreal forests.
           s. Southern Basking Dragon; c. BT 438; Mid-sized bulldog dragon found throughout much of the southern continents mountains.
           s. Red Basking Dragon; c. BT 438; Large bulldog dragon found throughout much of the great southern deserts.
           s. Pigmy Basking Dragon; c. BT 437; The smalles of the bulldog dragons.
          Devil Dragon; c. BT 438; Greater dragons characterized by their large sizes.
           s. Polar Dragon; c. BT 438; True devil dragons which use their spells to keep their bodies warm, allowing them to live in the north and easts polar climates.
           s. Great Angel Dragon; c. BT 438; Large true devil dragons with eye-like spots across their wings.
           s. Lesser Red Dragon; c. BT 438; A small true devil dragon red and brown in color.
           s. Great Wheezing Dragon; c. BT 438; True devil dragon characterized by their large size and wheezing-like sound produced when casting some spells.
           s. False Red Dragon; c. BT 438; False devil dragons which attempt to mimic adult lesser red dragons.
           s. False Angel Dragon; c. BT 438; False devil dragons which attempt to mimic adolescent great angel dragons.
           s. Borborygamous Dragon; c. BT 437; True devil dragon characterized by their absolutely massive size and large bulging neck folds.
           s. False Borborygamous Dragon; c. BT 436; Large false devil dragons which attempt to mimic adolescent borborygamous dragons.
          Whip-tailed Dragon; c. BT 438; Lesser dragons characterized by their long slender tails which can be used like whips.
           s. Eastern Whip-tail; c. BT 438; Large whip-tailed dragon found across the eastern deserts of the north.
           s. Northern Mega Whip-tail; c. BT 438; Large whip-tailed dragons found across much of the norths mountains.
           s. Southern Black Whip-tail; c. BT 438; Black whip-tailed dragons found across small portions of the souths deserts.
           s. Tropical Pigmy Whip-tail; c. BT 438; Small whip-tailed dragons found in the eastern desert of the north.
       Carnivora; c. BT 453; Mammals with primarily carnivorous diets and diverse hunting practices.
        Caniforms; c. BT 453; Carnivora with nonretractable claws.
         Canids; c. BT 453; Mid-sized caniforms known for their social behaviors.
          d. Domestic Fox; c. BT 439; a
         Ursus; c. BT 452; Large stocky short-tailed primarily omnivorous caniforms.
          s. Mask Bear; c. BT 452; Highly specialized bear created to hunt Organisms of Mass Destruction. Today only found in the north, hunting what few OMD still live.
          s. Giant Panda; c. BT 451; Specialized herbivorous bears created by a northern God. Today only found on the Northern Island Chain. 
          s. Sloth Bear; c. BT 451; Short-faced bears which get their names from their lanky and long-clawed sloth-like appearence.
          s. Sun Bear; c. BT 451; Short-faced bears which get their names from the yellow-colored spot on their chests.
          s. Ghost Bear; c. BT 451; Large white or gray short-faced bears found around the oceanic deserts of the north and south.
          s. Brown Bear; c. BT 449; Native to the northern continent, created to hunt relatively large prey.
          s. Northern Black Bear; c. BT 449; Created by a northern God with the objective of hunting large prey to defend their territory.
          s. Southern Black Bear; c. BT 448; Following the creation of the Northern Black Bear the Southern Black Bear would be created with some minor anatomical differences.
          d. Domestic Dog-bear; c. BT 441; The domesticated Dog-bear, found across many households of the south.
         Mustiforms; c. BT 451; Small caniforms characterized by their elongated slender bodies and musty scent glands.
          d. Domestic Ferret; c. BT 439; a
        Feliforms; c. BT 451; Carnivora with retractable claws.
         d. Domestic House Cat; c. BT 440; a
         d. Domestic Hunting Cat; c. BT 437; a
        Cetacea; c. BT 442; Often large mammals adapted for marine environments.
         Seals; c. BT 442; Cetacea characterized by their terrestrial behavior.
         Whales; c. BT 442; Completely aquatic cetacea characterized by their large size and filter-feeding diets.
         Dolphins; c. BT 441; Completely aquatic cetacea characterized by their smaller sizes.
       Ungulates; c. BT 452; Mammals with hooves.
        Even-toed Ungulates; c. BT 452; Ungulates with an even number of toes.
         Cattle; c. BT 452; Even-toed ungulates characterized by their sturdy builds and horns.
          s. Auroch; c. BT 451; a
          s. Buffalo; c. BT 451; a
          s. Water Buffalo; c. BT 451; a
          d. Domestic Cow; c. BT 442; The modern domestic cow, raised by humans for their meat and milk product.
          d. Domestic Sheep; c. BT 442; a
          d. Domestic Goat; c. BT 441; a
         Cervidae; c. BT 451; Even-toed ungulates characterized by their slender and tall bodies created for running. Often accompanied by antlers.
          s. Common Deer; c. BT 451; The first of the cervids, and the basal form of deer.
          s. Pigmy Deer; c. BT 451; a
          s. Eastern Deer; c. BT 450; a
          s. Common Moose; c. BT 450; Tall, powerful, and lanky cervids. Characterized by their large and flat antlers and stocky face. Found in the wilds of the southern cold climates.
          s. Wrinkled Deer; c. BT 450; A small wrinkly species of solitary deer found across islands in the oceanic southern crater scape. Males and females grow short, straight, spined antlers.
          s. Northern Moose; c. BT 450; Relatives of the common moose, tall powerful and lanky. Found across cold northern climates. 
          s. Blue Forest Deer; c. BT 450; A mid-sized rare species of deer, dark deep blue in color. Antlers are found only in males and grow like 
          s. Pigmy Moose; c. BT 449; Small species of moose, sharing the characteristic lanky legs and powerful necks. Amongst the cervids pigmy moose have some of the largest antlers compared to body size. Found across the grasslands of the south and east.
          s. Great-horned Moose; c. BT 449; a
          s. Mage's Deer; c. BT 448; A rare species of deer capable of casting spells, found in warmer climates in the southwest of the plane.
          d. Domestic Moose; c. BT 441; A smaller species of moose created to service humans as powerful and quick steeds. Their smaller bodies are more well adapted for warmer and hotter climates, making them more versatile for different climates. 
         Sus; c. BT 451; Even-toed ungulates characterized by their often omnivorous diets and short stout bodies.
          d. Domestic Pig; c. BT 442; The modern domestic pig, raised by humans for their meat and rarely companionship.
         Giraffe; c. BT 450; Even-toed ungulates characterized by their herbivorous diets and often tall lanky builds, created for foraging high foliage.
          e. Amber Giraffe; c. BT 450; The first of the giraffes. Extinct in the present, they gained their name from their amber orange color. Short and stout, similar to the Okapi of the modern day.
          s. Horseshoe Giraffe; c. BT 450; Giraffes characterized by the u-shaped horns adorned upon their head. Horseshoe giraffes have long necks and legs alongside dark brown bodies. Common in monsoon climates in the south and east.
          s. Shielded Giraffe; c. BT 450; Giraffes characterized by the leaf-shaped flat horns which create a shield-like pattern above their head. Shielded giraffe have relatively long legs and necks. Today they are nearly extinct and found rarely in some savannahs in the northwest.
          s. Horned Giraffe; c. BT 450; Giraffes characterized by their sharp jagged horns. Horned giraffes have short legs but relatively long necks, amongst the smaller species of giraffe. Found in continental climates in the north.
          s. Dome-headed Giraffe; c. BT 449; Giraffes characterized by the thick and hard dome on the top of their cranium. Used for mating displays where males will whip their heads into each others skulls. Short and stubby giraffes with tan bodies and dark brown spots. Found across many savannahs in the north and south.
          s. Spotted Giraffe; c. BT 449; The common image of a giraffe, tall neck and long legs. Pale tan bodies covered in dark and light brown spots. Found across many savannahs of the north and south.
          s. White Giraffe; c. BT 449; Shorter than their spotted relatives, white giraffes are primarily white and tan in coloration with dark and light brown heads. Found across savannahs of the north.
          s. Pigmy Giraffe; c. BT 449; Giraffes characterized by their very small size, with the largest individuals standing no more than half a meter in height. Brown in color, they are found across isolated savannah climates in the east.
          s. Okapi; c. BT 448; Giraffes characterized by their black and while coloration and short stature. Found across temperate rainforests in the north.
         Camelidae; c. BT 450; Even-toed ungulates characterized by their long necks and legs, thick coats, and fat reserves.
          s. Giant Camel; c. BT 450; a
          s. Three-humped Camel; c. BT 450; a
          s. Vicuna; c. BT 450; a
          s. Guanaco; c. BT 450; a
          d. Domestic Llama; c. BT 450; a
          d. Domestic Alpaca; c. BT 450; a
          d. Domestic Camel; c. BT 450; a
        Odd-toed Ungulates; c. BT 451; Ungulates with an odd number of toes.
         Equidae; c. BT 451; Odd-toed ungulates characterized by their herbivorous diets, slender legs and bodies, and social behavior.
          s. Wild Horse; c. BT 451; a
          s. Donkey; c. BT 450; a
          s. Zebra; c. BT 450; a
          d. Domestic Horse; c. BT 442; a
         Rhino; c. BT 451; Odd-toed ungulates characterized by their heavy bodies covered in thick armored skin. Distinguished by their large horns.
         Tapirs; c. BT 450; Odd-toed ungulates characterized by their trunk-like snouts and herbivorous diets.
         Chalicotheri; c. BT 450; Odd-toed ungulates characterized by their clawed feet and elongated legs.
